"日時","仮想ｷｰｺｰﾄﾞ","ｽｷｬﾝｺｰﾄﾞ","拡張ｷｰﾌﾗｸﾞ","ｲﾍﾞﾝﾄ挿入ﾌﾗｸﾞ","ｺﾝﾃｷｽﾄｺｰﾄﾞ","遷移状態ﾌﾗｸﾞ","ﾀｲﾑｽﾀﾝﾌﾟ","追加情報","仮想ｷｰｺｰﾄﾞ定数","キー"
"08/31 17:59:14.636","0x4E","0x31","False","False","False","True","2642750","0","VK_N","Nキー"
"08/31 17:59:14.822","0x4D","0x32","False","False","False","False","2642937","0","VK_M","Mキー"
"08/31 17:59:14.924","0x4D","0x32","False","False","False","True","2643046","0","VK_M","Mキー"
"08/31 17:59:15.120","0xBC","0x33","False","False","False","False","2643234","0","VK_OEM_COMMA",",キー"
"08/31 17:59:15.239","0xBC","0x33","False","False","False","True","2643359","0","VK_OEM_COMMA",",キー"
"08/31 17:59:15.445","0xBE","0x34","False","False","False","False","2643562","0","VK_OEM_PERIOD",".キー"
"08/31 17:59:15.556","0xBE","0x34","False","False","False","True","2643671","0","VK_OEM_PERIOD",".キー"
"08/31 17:59:15.737","0xBF","0x35","False","False","False","False","2643859","0","VK_OEM_2","OEM2キー"
"08/31 17:59:15.847","0xBF","0x35","False","False","False","True","2643968","0","VK_OEM_2","OEM2キー"
"08/31 17:59:16.016","0xFF","0x73","False","False","False","False","2644140","0","",""
"08/31 17:59:16.103","0xFF","0x73","False","False","False","True","2644218","0","",""
"08/31 17:59:17.298","0xA1","0x36","True","False","False","False","2645421","0","VK_RSHIFT","右Shiftキー"
"08/31 17:59:17.383","0xA1","0x36","True","False","False","True","2645500","0","VK_RSHIFT","右Shiftキー"
"08/31 17:59:18.079","0xFF","0x63","True","False","False","False","2646203","0","",""
"08/31 17:59:18.117","0xFF","0x63","True","False","False","True","2646203","0","",""
"08/31 17:59:18.305","0xFF","0x21","True","False","False","False","2646421","0","",""
"08/31 17:59:18.383","0xFF","0x21","True","False","False","True","2646500","0","",""
"08/31 17:59:18.648","0x5B","0x5B","True","False","False","False","2646765","0","VK_LWIN","左Windowsキー"
"08/31 17:59:18.736","0x5B","0x5B","True","False","False","True","2646859","0","VK_LWIN","左Windowsキー"
"08/31 17:59:18.976","0xA4","0x38","False","False","True","False","2647093","0","VK_LMENU","左Altキー"
"08/31 17:59:19.071","0xA4","0x38","False","False","False","True","2647187","0","VK_LMENU","左Altキー"
"08/31 17:59:19.263","0xFF","0x7B","False","False","False","False","2647375","0","",""
"08/31 17:59:19.357","0xFF","0x7B","False","False","False","True","2647468","0","",""
"08/31 17:59:19.557","0x20","0x39","False","False","False","False","2647671","0","VK_SPACE","スペースキー"
"08/31 17:59:19.635","0x20","0x39","False","False","False","True","2647750","0","VK_SPACE","スペースキー"
"08/31 17:59:19.892","0xFF","0x79","False","False","False","False","2648015","0","",""
"08/31 17:59:19.979","0xFF","0x79","False","False","False","True","2648093","0","",""
"08/31 17:59:20.216","0x1B","0x01","False","False","False","False","2648328","0","VK_ESCAPE","Escキー"
"08/31 17:59:20.311","0x1B","0x01","False","False","False","True","2648421","0","VK_ESCAPE","Escキー"
"08/31 17:59:20.526","0x19","0x38","True","False","False","False","2648640","0","VK_KANJI","IME 漢字モード"
"08/31 17:59:20.634","0x19","0x38","True","False","False","True","2648750","0","VK_KANJI","IME 漢字モード"
"08/31 17:59:20.835","0x2C","0x37","True","False","False","False","2648953","0","VK_SNAPSHOT","PrintScreenキー"
"08/31 17:59:20.930","0x2C","0x37","True","False","False","True","2649046","0","VK_SNAPSHOT","PrintScreenキー"
"08/31 17:59:21.108","0xF2","0x1D","True","False","False","True","2649218","0","VK_OEM_COPY","OEM固有"
"08/31 17:59:21.110","0xF1","0x1D","True","False","False","False","2649218","0","VK_OEM_FINISH","OEM固有"
"08/31 17:59:21.394","0x21","0x49","True","False","False","False","2649515","0","VK_PRIOR","PageUpキー"
"08/31 17:59:21.497","0x21","0x49","True","False","False","True","2649609","0","VK_PRIOR","PageUpキー"
"08/31 17:59:21.694","0x26","0x48","True","False","False","False","2649812","0","VK_UP","↑キー"
"08/31 17:59:21.796","0x26","0x48","True","False","False","True","2649921","0","VK_UP","↑キー"
"08/31 17:59:21.969","0x22","0x51","True","False","False","False","2650093","0","VK_NEXT","PageDownキー"
"08/31 17:59:22.072","0x22","0x51","True","False","False","True","2650187","0","VK_NEXT","PageDownキー"
"08/31 17:59:22.345","0x25","0x4B","True","False","False","False","2650468","0","VK_LEFT","←キー"
"08/31 17:59:22.455","0x25","0x4B","True","False","False","True","2650578","0","VK_LEFT","←キー"
"08/31 17:59:22.666","0x28","0x50","True","False","False","False","2650781","0","VK_DOWN","↓キー"
"08/31 17:59:22.761","0x28","0x50","True","False","False","True","2650875","0","VK_DOWN","↓キー"
"08/31 17:59:22.972","0x27","0x4D","True","False","False","False","2651093","0","VK_RIGHT","→キー"
"08/31 17:59:23.059","0x27","0x4D","True","False","False","True","2651171","0","VK_RIGHT","→キー"
"08/31 17:59:28.993","0x0D","0x1C","False","False","False","False","2657109","0","VK_RETURN","Enterキー"
"08/31 17:59:29.033","0x0D","0x1C","False","False","False","True","2657156","0","VK_RETURN","Enterキー"
"08/31 17:59:49.241","0x56","0x2F","False","False","False","False","2677359","0","VK_V","Vキー"
"08/31 17:59:49.366","0x56","0x2F","False","False","False","True","2677453","0","VK_V","Vキー"
"08/31 17:59:51.650","0x08","0x0E","False","False","False","False","2679765","0","VK_BACK","Backspaceキー"
"08/31 17:59:51.767","0x08","0x0E","False","False","False","True","2679890","0","VK_BACK","Backspaceキー"
"08/31 17:59:51.827","0xFF","0x7B","False","False","False","False","2679953","0","",""
"08/31 17:59:51.938","0xFF","0x7B","False","False","False","True","2680062","0","",""
"08/31 17:59:53.917","0x4B","0x25","False","False","False","False","2682031","0","VK_K","Kキー"
"08/31 17:59:54.027","0x4B","0x25","False","False","False","True","2682140","0","VK_K","Kキー"
"08/31 17:59:54.065","0x53","0x1F","False","False","False","False","2682140","0","VK_S","Sキー"
"08/31 17:59:54.112","0x53","0x1F","False","False","False","True","2682234","0","VK_S","Sキー"
"08/31 17:59:55.036","0x08","0x0E","False","False","False","False","2683156","0","VK_BACK","Backspaceキー"
"08/31 17:59:55.145","0x08","0x0E","False","False","False","True","2683265","0","VK_BACK","Backspaceキー"
"08/31 17:59:55.318","0xFF","0x7B","False","False","False","False","2683437","0","",""
"08/31 17:59:55.445","0xFF","0x7B","False","False","False","True","2683562","0","",""
"08/31 17:59:55.809","0x08","0x0E","False","False","False","False","2683921","0","VK_BACK","Backspaceキー"
"08/31 17:59:55.911","0x08","0x0E","False","False","False","True","2684031","0","VK_BACK","Backspaceキー"
"08/31 17:59:56.965","0xC0","0x29","False","False","False","False","2685078","0","VK_OEM_3","OEM3キー"
"08/31 17:59:57.077","0xC0","0x29","False","False","False","True","2685171","0","VK_OEM_3","OEM3キー"
"08/31 17:59:57.866","0x08","0x0E","False","False","False","False","2685984","0","VK_BACK","Backspaceキー"
"08/31 17:59:57.961","0x08","0x0E","False","False","False","True","2686078","0","VK_BACK","Backspaceキー"
"08/31 17:59:58.701","0xFF","0x7B","False","False","False","False","2686812","0","",""
"08/31 17:59:58.819","0xFF","0x7B","False","False","False","True","2686937","0","",""
"08/31 17:59:59.518","0x08","0x0E","False","False","False","False","2687640","0","VK_BACK","Backspaceキー"
"08/31 17:59:59.581","0x08","0x0E","False","False","False","True","2687703","0","VK_BACK","Backspaceキー"
"08/31 18:00:05.032","0x4C","0x26","False","False","False","False","2693156","0","VK_L","Lキー"
"08/31 18:00:05.126","0x4C","0x26","False","False","False","True","2693250","0","VK_L","Lキー"
"08/31 18:00:05.825","0x08","0x0E","False","False","False","False","2693937","0","VK_BACK","Backspaceキー"
"08/31 18:00:05.936","0x08","0x0E","False","False","False","True","2694062","0","VK_BACK","Backspaceキー"
"08/31 18:00:06.135","0x4B","0x25","False","False","False","False","2694250","0","VK_K","Kキー"
"08/31 18:00:06.246","0x4B","0x25","False","False","False","True","2694359","0","VK_K","Kキー"
"08/31 18:00:06.371","0x44","0x20","False","False","False","False","2694484","0","VK_D","Dキー"
"08/31 18:00:06.482","0x44","0x20","False","False","False","True","2694593","0","VK_D","Dキー"
"08/31 18:00:07.199","0x08","0x0E","False","False","False","False","2695312","0","VK_BACK","Backspaceキー"
"08/31 18:00:07.318","0x08","0x0E","False","False","False","True","2695437","0","VK_BACK","Backspaceキー"
